,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
0,,Bioenergy,Bioenergy,,DE,16.180368,,0,2004,,48.5034816955,12.1577713759564,,,3303
1,,Hydro,Run-Of-River,,DE,14.5413312,,0,1953,,48.5592504761905,12.1204534128544,,,3303
2,,Nuclear,Nuclear,,DE,1410,,0,1011,,48.61413015,12.2192343336529,,,3303
3,,OCGT,OCGT,,DE,0.132,,0,1303,,48.544474565743,12.1492446222873,,,3303
4,,Oil,Oil,,DE,0.0106,,0,1601,,48.4482814,12.13699965,,,3303
5,,onwind,onwind,,DE,0.724752,,0,1997,,48.5258461875,12.1215438875,,,3303
6,,solar,solar,,DE,246.646592240001,,0,2010,,48.56657966086,12.1235744410756,,,3303
7,,Bioenergy,Bioenergy,,DE,27.7822,,0,2010,,47.9381092293651,12.071323775007,,,3304
8,,Geothermal,Geothermal,,DE,9.16234,,0,1001,,47.7766721,11.9182693,,,3304
9,,Hydro,Run-Of-River,,DE,98.7703266,,0,1998,,47.8523990439836,12.0461720585397,,,3304
10,,OCGT,OCGT,,DE,63.43417,,0,1012,,47.8848927606079,11.9911320996353,,,3304
11,,Oil,Oil,,DE,186.3583,,0,1011,,47.804381815,11.8411693388462,,,3304
12,,onwind,onwind,,DE,0.073248,,0,2012,,48.00535613125,12.0453037003509,,,3304
13,,solar,solar,,DE,309.405327880003,,0,2003,,47.9111576553865,12.0282919504478,,,3304
14,,Bioenergy,Bioenergy,,DE,18.62,,0,2010,,48.894649735,11.5439911953047,,,3305
15,,Hydro,Run-Of-River,,DE,15.256593,,0,2009,,48.7984572178367,11.5602233437271,,,3305
16,,OCGT,OCGT,,DE,1407.0435,,0,1012,,48.74458601,11.5007654924133,,,3305
17,,Oil,Oil,,DE,1210.7795,,0,1011,,48.757752325,11.4911311132334,,,3305
18,,onwind,onwind,,DE,2.24,,0,2013,,48.9439331,11.5686343,,,3305
19,,solar,solar,,DE,177.17077376,,0,2003,,48.7435414432769,11.5134148738832,,,3305
20,,Bioenergy,Bioenergy,,DE,18.3,,0,2006,,48.4237047747126,11.2061097728249,,,3306
21,,Hydro,Run-Of-River,,DE,0.415173,,0,1994,,48.444661812963,11.213232649197,,,3306
22,,OCGT,OCGT,,DE,0.00093,,0,1092,,48.50627505,11.2418914538737,,,3306
23,,Oil,Oil,,DE,0.00893,,0,1092,,48.498358925,11.2139664769368,,,3306
24,,onwind,onwind,,DE,0.015232,,0,2012,,48.42466135,11.1812214,,,3306
25,,solar,solar,,DE,150.15931616,,0,2010,,48.4334062743784,11.21522172291,,,3306
26,,Bioenergy,Bioenergy,,DE,6.10116,,0,2006,,47.9790682192713,11.1413177758933,,,3307
27,,onwind,onwind,,DE,0.049896,,0,1997,,48.0790206333333,11.1532018,,,3307
28,,solar,solar,,DE,213.382121879999,,0,2003,,48.0014750114974,11.1553750942705,,,3307
29,,Hydro,Run-Of-River,,DE,2.815791,,0,2012,,47.9845997771554,11.1201955525397,,,3308
30,,OCGT,OCGT,,DE,0.3212,,0,1501,,47.9910843069581,11.3390720977114,,,3308
31,,Oil,Oil,,DE,0.0164,,0,1412,,47.98783975,11.0333842570359,,,3308
32,,Bioenergy,Bioenergy,,DE,8.198,,0,2001,,48.3084071454545,11.4009014753401,,,3309
33,,Hydro,Run-Of-River,,DE,1.96119,,0,2010,,48.2721257333333,11.4029051496891,,,3309
34,,OCGT,OCGT,,DE,0.51325,,0,1209,,48.1783851,11.3594987971352,,,3309
35,,Oil,Oil,,DE,0.344,,0,1811,,48.14465265,11.4379269883608,,,3309
36,,onwind,onwind,,DE,3.49608,,0,2013,,48.26743885,11.4210107,,,3309
37,,solar,solar,,DE,113.20662376,,0,2011,,48.2572833333347,11.3956999999999,,,3309
38,,Bioenergy,Bioenergy,,DE,9.37804,,0,2010,,48.9400985263513,11.252877718581,,,3310
39,,Hydro,Run-Of-River,,DE,14.811456,,0,2004,,48.9733040141596,11.2976901300541,,,3310
40,,OCGT,OCGT,,DE,0.7315,,0,1812,,48.9551363428572,11.3346259098893,,,3310
41,,Oil,Oil,,DE,0.3306,,0,1310,,48.7978058666667,11.2297042010575,,,3310
42,,onwind,onwind,,DE,108.2227664,,0,2012,,49.0185850844445,11.3356862648209,,,3310
43,,solar,solar,,DE,215.96007688,,0,2009,,48.8919758949913,11.2789443118538,,,3310
44,,Bioenergy,Bioenergy,,DE,8.32875999999999,,0,2005,,48.5514286653061,11.7741610540884,,,3312
45,,Hard Coal,Hard Coal,,DE,472,,0,1011,,48.47606095,11.7755284644602,,,3312
46,,Hydro,Run-Of-River,,DE,9.81915,,0,1908,,48.5636806444444,11.865322655586,,,3312
47,,OCGT,OCGT,,DE,0.0877,,0,1712,,48.4944126463276,11.8688036727665,,,3312
48,,Oil,Oil,,DE,46.0063,,0,1011,,48.471544275,11.8560104971306,,,3312
49,,onwind,onwind,,DE,4.741632,,0,2000,,48.56055502,11.7611970473077,,,3312
50,,solar,solar,,DE,125.12514004,,0,2004,,48.5645969230779,11.7902258461534,,,3312
51,,Bioenergy,Bioenergy,,DE,10.756,,0,2000,,48.3922456421053,11.6333576550881,,,3313
52,,Hydro,Run-Of-River,,DE,1.26093,,0,1994,,48.39712555,11.6331138884171,,,3313
53,,onwind,onwind,,DE,2.576,,0,2013,,48.4745181,11.5782433,,,3313
54,,solar,solar,,DE,46.60094032,,0,2013,,48.3536420786307,11.682261541456,,,3313
55,,Bioenergy,Bioenergy,,DE,22.0696,,0,2011,,48.1492228036585,11.5812111997905,,,3314
56,,Hard Coal,Hard Coal,,DE,332.7,,0,1011,,48.1923502,11.6403669,,,3314
57,,Hydro,Run-Of-River,,DE,12.17205,,0,1980,,48.1967289899054,11.5603267585423,,,3314
58,,OCGT,OCGT,,DE,654.27418,,0,1011,,48.1606456647303,11.5901332198263,,,3314
59,,Oil,Oil,,DE,0.58,,0,1306,,48.1016192627624,11.6523553819303,,,3314
60,,onwind,onwind,,DE,1.68,,0,1999,,48.2074621,11.6314436,,,3314
61,,solar,solar,,DE,122.24978952,,0,2011,,48.154064813206,11.5884135389515,,,3314
62,,Bioenergy,Bioenergy,,DE,13.62912,,0,1997,,48.2893029600961,11.9482629276188,,,3315
63,,Hydro,Run-Of-River,,DE,25.7667069,,0,2010,,48.3085477378572,11.9417667619735,,,3315
64,,OCGT,OCGT,,DE,0.74375,,0,1209,,48.2005741571429,11.8636535248801,,,3315
65,,Oil,Oil,,DE,0.86,,0,1102,,48.3377422,11.8183646577259,,,3315
66,,onwind,onwind,,DE,0.049504,,0,2012,,48.2785502071429,11.9838820792874,,,3315
67,,solar,solar,,DE,143.47305976,,0,2008,,48.2790704749317,11.9509526981333,,,3315
68,,Bioenergy,Bioenergy,,DE,7.3336,,0,2011,,48.8640292047619,11.8647114666667,,,3316
69,,Hydro,Run-Of-River,,DE,2.823018,,0,1956,,48.9900815983606,11.7677007987133,,,3316
70,,OCGT,OCGT,,DE,0.0102,,0,1610,,48.9886065,11.7337202,,,3316
71,,onwind,onwind,,DE,0.686896,,0,2010,,49.064223675,11.7248657,,,3316
72,,solar,solar,,DE,191.29094388,,0,2012,,48.9129219850683,11.8136274839656,,,3316
73,,Bioenergy,Bioenergy,,DE,6.3098,,0,2011,,49.0145491,12.1558888164888,,,3317
74,,Hydro,Run-Of-River,,DE,10.952634,,0,1960,,49.0358273355932,12.083833953617,,,3317
75,,OCGT,OCGT,,DE,14.73254,,0,1012,,49.0076106222222,12.1005688520766,,,3317
76,,Oil,Oil,,DE,0.5253,,0,1311,,49.0072253,12.0778275521994,,,3317
77,,onwind,onwind,,DE,4.159008,,0,2012,,49.0810502833333,12.0776361821356,,,3317
78,,solar,solar,,DE,202.710379479999,,0,2003,,49.009667154627,12.1171305495557,,,3317
79,,Bioenergy,Bioenergy,,DE,53.949984,,0,2006,,48.1154642138512,12.5795656931614,,,3318
80,,Geothermal,Geothermal,,DE,11,,0,1301,,47.9772723,12.5830219549177,,,3318
81,,Hydro,Run-Of-River,,DE,77.3592105,,0,2008,,47.9685268432283,12.6630750964679,,,3318
82,,OCGT,OCGT,,DE,73.66916,,0,1012,,48.0426762666667,12.6093059833244,,,3318
83,,Oil,Oil,,DE,0.430741,,0,1812,,47.9635144657498,12.6710616096388,,,3318
84,,onwind,onwind,,DE,4.604208,,0,2011,,48.0604428111111,12.5820206922814,,,3318
85,,solar,solar,,DE,537.841652640008,,0,2004,,48.0975937659203,12.6108515885946,,,3318
86,,Bioenergy,Bioenergy,,DE,9.3154,,0,2009,,48.5797447185714,12.3766407079672,,,3319
87,,Hydro,Run-Of-River,,DE,19.145049,,0,1970,,48.6923521286534,12.3805217151076,,,3319
88,,OCGT,OCGT,,DE,28.9365,,0,1011,,48.5426124857143,12.4251999374496,,,3319
89,,onwind,onwind,,DE,0.00336,,0,2013,,48.773656975,12.2982431135291,,,3319
90,,solar,solar,,DE,321.55078332,,0,2003,,48.6622918583168,12.3954708662071,,,3319
91,,Bioenergy,Bioenergy,,DE,37.918,,0,2009,,45.3780925740235,16.1762867476773,,,3320
92,,Hydro,Run-Of-River,,DE,153.3246,,0,1994,,48.0149563693352,13.8988775718835,,,3320
93,,OCGT,OCGT,,DE,239.11102,,0,1012,,48.4329280433269,13.2121031481179,,,3320
